date,close,signal,position,cash,shares,equity,daily_return,cum_return,rolling_max,drawdown
2012-05-28,2.604,0,0,100000.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2012-05-29,2.644,0,0,100000.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2012-05-30,2.636,0,0,100000.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2012-05-31,2.63,0,0,100000.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2012-06-01,2.63,0,0,100000.0,0.0,100000.0,0.0,0.0,100000.0,0.0
2012-06-04,2.558,1,1,-4.614975068761851e-12,39081.31704351088,99970.00899730081,-0.000299910026991812,-0.000299910026991812,100000.0,-0.000299910026991812
2012-06-05,2.561,-1,0,100057.22677254683,0.0,100057.22677254683,0.000872439405785963,0.0005722677254682562,100057.22677254683,0.0
2012-06-06,2.559,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-07,2.543,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-08,2.534,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-11,2.564,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-12,2.548,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-13,2.585,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-14,2.574,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-15,2.584,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-18,2.592,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-19,2.573,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-20,2.57,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-21,2.53,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-25,2.48,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-26,2.48,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-27,2.471,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-28,2.457,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
2012-06-29,2.485,0,0,100057.22677254683,0.0,100057.22677254683,0.0,0.0005722677254682562,100057.22677254683,0.0
